0.0 1:0.616214309486	 2:-0.713481530721	 3:-0.984274922174	 
0.0 1:0.627394419432	 2:-0.567000667238	 3:-1.09871528454	 
0.0 1:0.638574529378	 2:-0.420519803754	 3:-1.21315564691	 
0.0 1:0.649754639323	 2:-0.274038940272	 3:-1.32759600927	 
0.0 1:0.646033920337	 2:-0.0930956067462	 3:-1.31059902419	 
0.0 1:0.641009359131	 2:0.0908632384453	 3:-1.28210109753	 
0.0 1:0.635984797924	 2:0.274822083637	 3:-1.25360317086	 
0.0 1:0.630960236717	 2:0.458780928829	 3:-1.2251052442	 
0.0 1:0.62593567551	 2:0.642739774021	 3:-1.19660731753	 
0.0 1:0.620911114303	 2:0.826698619213	 3:-1.16810939087	 
0.0 1:0.610923209506	 2:0.992287560619	 3:-1.09309025202	 
0.0 1:0.597927590895	 2:1.14674460829	 3:-0.989879937211	 
0.0 1:0.584931972282	 2:1.30120165597	 3:-0.886669622391	 
0.0 1:0.571936353669	 2:1.45565870363	 3:-0.783459307573	 
0.0 1:0.558940735057	 2:1.61011575131	 3:-0.680248992756	 
0.0 1:0.545945116445	 2:1.76457279898	 3:-0.57703867794	 
0.0 1:0.528685348577	 2:1.77256327395	 3:-0.421862225079	 
0.0 1:0.509619662886	 2:1.71852341688	 3:-0.244677495939	 
0.0 1:0.490553977195	 2:1.6644835598	 3:-0.0674927668012	 
0.0 1:0.471488291503	 2:1.61044370273	 3:0.109691962339	 
0.0 1:0.452422605812	 2:1.55640384565	 3:0.286876691477	 
0.0 1:0.43409598818	 2:1.48795596904	 3:0.45870814159	 
0.0 1:0.416178896794	 2:1.41152444046	 3:0.627573277242	 
0.0 1:0.398261805408	 2:1.33509291188	 3:0.796438412894	 
0.0 1:0.380344714023	 2:1.2586613833	 3:0.965303548546	 
0.0 1:0.364250210432	 2:1.16448374802	 3:1.11933428611	 
0.0 1:0.354332420621	 2:1.01016491019	 3:1.22309154367	 
0.0 1:0.34441463081	 2:0.85584607235	 3:1.32684880124	 
0.0 1:0.334496840997	 2:0.701527234509	 3:1.43060605881	 
0.0 1:0.324579051186	 2:0.54720839667	 3:1.53436331637	 
0.0 1:0.320283509088	 2:0.378650157332	 3:1.58864131802	 
0.0 1:0.322908035117	 2:0.192565541804	 3:1.58201844172	 
0.0 1:0.325532561146	 2:0.00648092627662	 3:1.57539556541	 
0.0 1:0.328157087175	 2:-0.179603689253	 3:1.56877268912	 
0.0 1:0.330781613204	 2:-0.365688304781	 3:1.56214981282	 
0.0 1:0.333406139233	 2:-0.551772920309	 3:1.55552693651	 
0.0 1:0.33781408825	 2:-0.726455168718	 3:1.53174725448	 
0.0 1:0.357152814075	 2:-0.805677058236	 3:1.36433118395	 
0.0 1:0.376491539899	 2:-0.884898947754	 3:1.19691511343	 
0.0 1:0.395830265724	 2:-0.964120837273	 3:1.02949904291	 
0.0 1:0.41583754554	 2:-0.967024773197	 3:0.849036894725	 
0.0 1:0.436034730582	 2:-0.948250313302	 3:0.664868960123	 
0.0 1:0.456231915623	 2:-0.929475853407	 3:0.48070102552	 
0.0 1:0.476429100664	 2:-0.910701393513	 3:0.296533090917	 
0.0 1:0.496500524691	 2:-0.88673918716	 3:0.113024875379	 
0.0 1:0.516452822157	 2:-0.857862911087	 3:-0.0698584242127	 
0.0 1:0.536405119623	 2:-0.828986635013	 3:-0.252741723805	 
0.0 1:0.556357417089	 2:-0.80011035894	 3:-0.435625023397	 
0.0 1:0.576309714554	 2:-0.771234082867	 3:-0.618508322989	 
0.0 1:0.59626201202	 2:-0.742357806794	 3:-0.801391622582	 
0.0 1:0.78965624889	 2:1.17973343403	 3:-0.60930638187	 
0.0 1:0.823239243345	 2:1.10094869949	 3:-0.440373524483	 
0.0 1:0.856822237801	 2:1.02216396493	 3:-0.271440667094	 
0.0 1:0.890031734691	 2:0.953671171822	 3:-0.098229210023	 
0.0 1:0.923010532244	 2:0.891535432361	 3:0.0776250222633	 
0.0 1:0.955989329797	 2:0.8293996929	 3:0.25347925455	 
0.0 1:0.98834172538	 2:0.777134903795	 3:0.431676599937	 
0.0 1:1.01862922248	 2:0.757409141369	 3:0.617597884453	 
0.0 1:1.04891671958	 2:0.737683378944	 3:0.803519168968	 
0.0 1:1.07920421668	 2:0.717957616519	 3:0.989440453488	 
0.0 1:1.10949171378	 2:0.698231854093	 3:1.175361738	 
0.0 1:1.13977921087	 2:0.678506091667	 3:1.36128302251	 
0.0 1:1.17147955228	 2:0.557318135233	 3:1.49012773003	 
0.0 1:1.20355313826	 2:0.409325942102	 3:1.60389397315	 
0.0 1:1.23562672424	 2:0.261333748974	 3:1.71766021628	 
0.0 1:1.26018742743	 2:0.081905309561	 3:1.76155076185	 
0.0 1:1.28329177951	 2:-0.103616957399	 3:1.7918961008	 
0.0 1:1.30639613159	 2:-0.289139224358	 3:1.82224143977	 
0.0 1:1.32950048367	 2:-0.474661491317	 3:1.85258677873	 
0.0 1:1.35260483575	 2:-0.660183758277	 3:1.88293211769	 
0.0 1:1.36776415202	 2:-0.841323200879	 3:1.86398876594	 
0.0 1:1.37510084414	 2:-1.01814734668	 3:1.79651612976	 
0.0 1:1.38243753625	 2:-1.19497149246	 3:1.72904349359	 
0.0 1:1.38977422837	 2:-1.37179563826	 3:1.6615708574	 
0.0 1:1.39711092048	 2:-1.54861978406	 3:1.59409822123	 
0.0 1:1.38269087283	 2:-1.62234171985	 3:1.45122804879	 
0.0 1:1.35554661638	 2:-1.63576537282	 3:1.26426239124	 
0.0 1:1.32840235993	 2:-1.64918902578	 3:1.07729673369	 
0.0 1:1.30125810348	 2:-1.66261267875	 3:0.890331076144	 
0.0 1:1.27213226443	 2:-1.65037412893	 3:0.707139187008	 
0.0 1:1.23915346688	 2:-1.58823838946	 3:0.531284954721	 
0.0 1:1.20617466933	 2:-1.52610265001	 3:0.355430722434	 
0.0 1:1.17319587177	 2:-1.46396691055	 3:0.179576490148	 
0.0 1:1.14021707422	 2:-1.40183117108	 3:0.0037222578611	 
0.0 1:1.10723827667	 2:-1.33969543162	 3:-0.172131974425	 
0.0 1:1.07425947911	 2:-1.27755969216	 3:-0.347986206711	 
0.0 1:1.0409370222	 2:-1.20595422034	 3:-0.519903650772	 
0.0 1:1.00735402775	 2:-1.12716948579	 3:-0.688836508161	 
0.0 1:0.975568870641	 2:-1.02867080974	 3:-0.833075623633	 
0.0 1:0.951602090397	 2:-0.844440783136	 3:-0.86992739374	 
0.0 1:0.927635310152	 2:-0.660210756527	 3:-0.906779163847	 
0.0 1:0.903940825789	 2:-0.475629465767	 3:-0.94161375076	 
0.0 1:0.88674081167	 2:-0.288797337998	 3:-0.932343742147	 
0.0 1:0.872367814886	 2:-0.101999485842	 3:-0.904538317984	 
0.0 1:0.857994818101	 2:0.0847983663134	 3:-0.876732893822	 
0.0 1:0.843892429961	 2:0.271365020476	 3:-0.847302262968	 
0.0 1:0.829888430598	 2:0.457847614913	 3:-0.817280734137	 
0.0 1:0.814983440501	 2:0.645045745212	 3:-0.792705794898	 
0.0 1:0.80351816031	 2:0.828502022979	 3:-0.747998014194	 
0.0 1:0.795217295627	 2:1.00664070712	 3:-0.685995004695	 
0.0 1:1.36340383093	 2:1.23116727895	 3:-0.109673146985	 
0.0 1:1.37793998475	 2:1.13620967124	 3:0.0507313708005	 
0.0 1:1.39247613857	 2:1.04125206354	 3:0.211135888587	 
0.0 1:1.40701229239	 2:0.946294455837	 3:0.371540406372	 
0.0 1:1.42154844621	 2:0.851336848133	 3:0.531944924159	 
0.0 1:1.43438715753	 2:0.774042768307	 3:0.70073791425	 
0.0 1:1.44578253703	 2:0.711767949358	 3:0.87666360483	 
0.0 1:1.45717791652	 2:0.649493130409	 3:1.05258929541	 
0.0 1:1.46857329602	 2:0.587218311461	 3:1.22851498599	 
0.0 1:1.47996867551	 2:0.524943492511	 3:1.40444067657	 
0.0 1:1.49136405501	 2:0.462668673562	 3:1.58036636714	 
0.0 1:1.50616198257	 2:0.354602572629	 3:1.69664471849	 
0.0 1:1.52668861176	 2:0.169439958489	 3:1.71249779937	 
0.0 1:1.54721524095	 2:-0.0157226556521	 3:1.72835088027	 
0.0 1:1.56774187014	 2:-0.200885269793	 3:1.74420396116	 
0.0 1:1.58785427498	 2:-0.384718673951	 3:1.74980763975	 
0.0 1:1.60515110356	 2:-0.559517138207	 3:1.68574382024	 
