0.0 1:0.213768766451	 2:-0.968049997508	 3:-1.21505484882	 
0.0 1:0.236645243876	 2:-0.784883306447	 3:-1.23239794946	 
0.0 1:0.2595217213	 2:-0.601716615387	 3:-1.24974105011	 
0.0 1:0.282398198724	 2:-0.418549924326	 3:-1.26708415075	 
0.0 1:0.305274676148	 2:-0.235383233264	 3:-1.28442725139	 
0.0 1:0.328151153572	 2:-0.0522165422039	 3:-1.30177035204	 
0.0 1:0.351027630996	 2:0.130950148857	 3:-1.31911345268	 
0.0 1:0.37390410842	 2:0.314116839917	 3:-1.33645655333	 
0.0 1:0.396780585845	 2:0.497283530979	 3:-1.35379965397	 
0.0 1:0.419657063269	 2:0.68045022204	 3:-1.37114275461	 
0.0 1:0.442533540693	 2:0.8636169131	 3:-1.38848585526	 
0.0 1:0.465410018117	 2:1.04678360416	 3:-1.4058289559	 
0.0 1:0.493247926026	 2:1.16246105267	 3:-1.31094634402	 
0.0 1:0.524325816759	 2:1.23406573074	 3:-1.1427765255	 
0.0 1:0.555403707492	 2:1.30567040882	 3:-0.974606706988	 
0.0 1:0.586481598224	 2:1.37727508689	 3:-0.806436888474	 
0.0 1:0.617559488957	 2:1.44887976496	 3:-0.63826706996	 
0.0 1:0.64863737969	 2:1.52048444303	 3:-0.470097251446	 
0.0 1:0.677908031169	 2:1.57337610512	 3:-0.295967290688	 
0.0 1:0.705326632497	 2:1.60709075787	 3:-0.115729404646	 
0.0 1:0.729627645215	 2:1.61923893365	 3:0.0631988249255	 
0.0 1:0.743325828456	 2:1.55804013963	 3:0.237672950399	 
0.0 1:0.757024011698	 2:1.49684134561	 3:0.412147075874	 
0.0 1:0.770722194939	 2:1.43564255159	 3:0.586621201347	 
0.0 1:0.78442037818	 2:1.37444375757	 3:0.761095326822	 
0.0 1:0.798118561421	 2:1.31324496355	 3:0.935569452293	 
0.0 1:0.804573390364	 2:1.22467528489	 3:1.08240403279	 
0.0 1:0.788230428197	 2:1.04995826553	 3:1.1422456889	 
0.0 1:0.771887466032	 2:0.875241246167	 3:1.20208734502	 
0.0 1:0.752293707231	 2:0.696320033008	 3:1.24078354488	 
0.0 1:0.729417229807	 2:0.513153341947	 3:1.25812664552	 
0.0 1:0.706540752383	 2:0.329986650886	 3:1.27546974617	 
0.0 1:0.683664274959	 2:0.146819959825	 3:1.29281284681	 
0.0 1:0.660787797535	 2:-0.0363467312354	 3:1.31015594745	 
0.0 1:0.63791132011	 2:-0.219513422296	 3:1.3274990481	 
0.0 1:0.609996978488	 2:-0.398014683861	 3:1.29997668263	 
0.0 1:0.579698859029	 2:-0.574308393375	 3:1.25122522094	 
0.0 1:0.546355045332	 2:-0.703309220166	 3:1.12723857385	 
0.0 1:0.514720691876	 2:-0.797847979869	 3:0.97948124325	 
0.0 1:0.489604935844	 2:-0.812052083548	 3:0.796337596592	 
0.0 1:0.464489179813	 2:-0.826256187227	 3:0.613193949934	 
0.0 1:0.440582480476	 2:-0.831136321655	 3:0.429519547924	 
0.0 1:0.417255511712	 2:-0.831545706234	 3:0.245590654038	 
0.0 1:0.393928542948	 2:-0.831955090813	 3:0.0616617601523	 
0.0 1:0.369801464837	 2:-0.838534736038	 3:-0.12191589932	 
0.0 1:0.344685708806	 2:-0.852738839716	 3:-0.305059545978	 
0.0 1:0.319569952774	 2:-0.866942943395	 3:-0.488203192636	 
0.0 1:0.293627487297	 2:-0.888006241045	 3:-0.670460541634	 
0.0 1:0.267007913682	 2:-0.914687493199	 3:-0.851991977362	 
0.0 1:0.240388340067	 2:-0.941368745354	 3:-1.03352341309	 
0.0 1:0.674307516628	 2:-0.954616746797	 3:-1.15610356728	 
0.0 1:0.698267764132	 2:-0.977839626886	 3:-0.980930901572	 
0.0 1:0.722228011635	 2:-1.00106250697	 3:-0.805758235863	 
