0.0 1:0.320971172103	 2:0.440656593937	 3:-1.08501299705	 
0.0 1:0.342501466744	 2:0.269705012674	 3:-1.05277452253	 
0.0 1:0.364031761384	 2:0.0987534314119	 3:-1.02053604802	 
0.0 1:0.385562056025	 2:-0.0721981498506	 3:-0.988297573516	 
0.0 1:0.407092350665	 2:-0.243149731113	 3:-0.956059099007	 
0.0 1:0.428622645305	 2:-0.414101312375	 3:-0.923820624498	 
0.0 1:0.450152939946	 2:-0.585052893637	 3:-0.891582149988	 
0.0 1:0.471683234586	 2:-0.756004474899	 3:-0.85934367548	 
0.0 1:0.493213529227	 2:-0.926956056162	 3:-0.827105200971	 
0.0 1:0.516914654565	 2:-1.07328674966	 3:-0.756753162079	 
0.0 1:0.544617019622	 2:-1.17423662455	 3:-0.616150823227	 
0.0 1:0.57231938468	 2:-1.27518649944	 3:-0.475548484375	 
0.0 1:0.600021749738	 2:-1.37613637434	 3:-0.334946145523	 
0.0 1:0.627724114795	 2:-1.47708624924	 3:-0.194343806671	 
0.0 1:0.655426479853	 2:-1.57803612414	 3:-0.0537414678188	 
0.0 1:0.683128844911	 2:-1.67898599903	 3:0.0868608710336	 
0.0 1:0.69125208645	 2:-1.60947186561	 3:0.210643859651	 
0.0 1:0.692454517934	 2:-1.47970227581	 3:0.32848156026	 
0.0 1:0.693656949418	 2:-1.34993268603	 3:0.446319260869	 
0.0 1:0.694859380901	 2:-1.22016309623	 3:0.564156961479	 
0.0 1:0.696061812384	 2:-1.09039350644	 3:0.681994662089	 
0.0 1:0.697264243867	 2:-0.960623916637	 3:0.799832362699	 
0.0 1:0.698152245914	 2:-0.829820853711	 3:0.915980623772	 
0.0 1:0.689135585455	 2:-0.666462942602	 3:0.97891081267	 
0.0 1:0.680118924995	 2:-0.503105031492	 3:1.04184100156	 
0.0 1:0.671102264536	 2:-0.339747120383	 3:1.10477119045	 
0.0 1:0.662085604076	 2:-0.176389209274	 3:1.16770137935	 
0.0 1:0.653068943617	 2:-0.0130312981648	 3:1.23063156824	 
0.0 1:0.644052283158	 2:0.150326612945	 3:1.29356175714	 
0.0 1:0.635035622697	 2:0.313684524054	 3:1.35649194602	 
0.0 1:0.618102628683	 2:0.483310757035	 3:1.36043658544	 
0.0 1:0.597517968074	 2:0.655828457565	 3:1.3371722197	 
0.0 1:0.576933307465	 2:0.828346158096	 3:1.31390785395	 
