0.0 1:0.918737207601	 2:-0.238804118275	 3:-0.86609474218	 
0.0 1:0.921822033169	 2:-0.0586443063377	 3:-0.773235613086	 
0.0 1:0.924952210279	 2:0.125830105969	 3:-0.678427266957	 
0.0 1:0.929133070345	 2:0.304540757559	 3:-0.575523849242	 
0.0 1:0.933481329958	 2:0.472024610137	 3:-0.474944571914	 
0.0 1:0.936315966045	 2:0.625526185233	 3:-0.393839871513	 
0.0 1:0.938116899727	 2:0.771219569207	 3:-0.32542472524	 
0.0 1:0.941278877779	 2:0.922987705179	 3:-0.24177616212	 
0.0 1:0.947616727849	 2:1.08098018097	 3:-0.12536906734	 
0.0 1:0.957900710446	 2:1.22273787389	 3:0.0233388470904	 
0.0 1:0.971931484916	 2:1.32944130408	 3:0.195830771858	 
0.0 1:0.986840277457	 2:1.39964611922	 3:0.36398057142	 
0.0 1:1.00010148148	 2:1.43690652003	 3:0.504718392321	 
0.0 1:1.01433394219	 2:1.45503409721	 3:0.648099750737	 
0.0 1:1.03370150668	 2:1.46986889538	 3:0.839766148444	 
0.0 1:1.05744036918	 2:1.47374565979	 3:1.06967663335	 
0.0 1:1.08137437675	 2:1.44300432978	 3:1.28932973591	 
0.0 1:1.1025851333	 2:1.37015443941	 3:1.46800196317	 
0.0 1:1.11984032583	 2:1.2686150077	 3:1.59853328917	 
0.0 1:1.13230195178	 2:1.14579111082	 3:1.67545167357	 
0.0 1:1.13980292228	 2:0.991796660089	 3:1.69368262909	 
0.0 1:1.14237956109	 2:0.797674956948	 3:1.65043588967	 
0.0 1:1.14055976297	 2:0.570099079955	 3:1.55313328906	 
0.0 1:1.13502748992	 2:0.321190561302	 3:1.4126093177	 
0.0 1:1.12661013195	 2:0.072199964259	 3:1.24427974884	 
0.0 1:1.11621801046	 2:-0.151619638441	 3:1.06576197074	 
0.0 1:1.10486234667	 2:-0.347945215152	 3:0.887606143256	 
0.0 1:1.09364355229	 2:-0.537321911527	 3:0.713204150999	 
0.0 1:1.08260178941	 2:-0.730252625034	 3:0.539260626302	 
0.0 1:1.06983424285	 2:-0.917088454551	 3:0.350838424472	 
0.0 1:1.05373846271	 2:-1.08694758192	 3:0.136324465452	 
0.0 1:1.0344825306	 2:-1.23213108595	 3:-0.0999639683766	 
0.0 1:1.01282934245	 2:-1.34582995657	 3:-0.348294861463	 
0.0 1:0.990997037931	 2:-1.42260022559	 3:-0.58540404949	 
0.0 1:0.971713114226	 2:-1.45741945841	 3:-0.783271189489	 
0.0 1:0.955995220601	 2:-1.44278859305	 3:-0.929469655131	 
0.0 1:0.943513634876	 2:-1.36966036925	 3:-1.02400219329	 
0.0 1:0.934024763678	 2:-1.24872685838	 3:-1.07296241247	 
0.0 1:0.92746007285	 2:-1.11896425234	 3:-1.09067416139	 
0.0 1:0.92350018288	 2:-1.01126549019	 3:-1.09104258615	 
0.0 1:0.921118985992	 2:-0.929093631365	 3:-1.08516083381	 
0.0 1:0.919353054526	 2:-0.869783411914	 3:-1.08137015624	 
0.0 1:0.918183459507	 2:-0.822287990437	 3:-1.07598006664	 
0.0 1:0.91781016104	 2:-0.773852303291	 3:-1.0625938154	 
0.0 1:0.917435751095	 2:-0.723150415624	 3:-1.04842379532	 
0.0 1:0.915711177603	 2:-0.67542665922	 3:-1.04829684126	 
0.0 1:0.913187107711	 2:-0.621322218476	 3:-1.05363032498	 
0.0 1:0.912553475148	 2:-0.535002567209	 3:-1.02946938641	 
0.0 1:0.915059342638	 2:-0.402927159622	 3:-0.959041428447	 
0.0 1:0.918737207601	 2:-0.238804118275	 3:-0.86609474218	 
0.0 1:1.94534890033	 2:-0.468877078213	 3:-1.24324636847	 
0.0 1:1.94812884585	 2:-0.329811671122	 3:-1.18563841239	 
0.0 1:1.95150656623	 2:-0.211701701292	 3:-1.11315664881	 
0.0 1:1.95563994721	 2:-0.0904696841574	 3:-1.0233202086	 
0.0 1:1.96018948373	 2:0.0381817841816	 3:-0.924204900068	 
0.0 1:1.96437940354	 2:0.161196078004	 3:-0.833145685532	 
0.0 1:1.96776205201	 2:0.272337486615	 3:-0.76020907941	 
0.0 1:1.97090876666	 2:0.38738890025	 3:-0.692929782956	 
0.0 1:1.97451924673	 2:0.524247724852	 3:-0.615971957551	 
0.0 1:1.97855132987	 2:0.676635723816	 3:-0.530005509008	 
0.0 1:1.98246401493	 2:0.822008788151	 3:-0.446462365738	 
0.0 1:1.98602905505	 2:0.945935381412	 3:-0.369925092782	 
0.0 1:1.98973691129	 2:1.05276565306	 3:-0.28924324959	 
0.0 1:1.99420637578	 2:1.14921683418	 3:-0.190408911835	 
0.0 1:2.00032679722	 2:1.24048993972	 3:-0.0530717227136	 
0.0 1:2.00911468136	 2:1.33090221807	 3:0.146107880817	 
0.0 1:2.02064757834	 2:1.41678939486	 3:0.409105729012	 
0.0 1:2.0334094917	 2:1.48096889728	 3:0.701638893812	 
0.0 1:2.04584676849	 2:1.5058690389	 3:0.988571035484	 
0.0 1:2.05714214992	 2:1.47972547519	 3:1.25154284844	 
0.0 1:2.06676288394	 2:1.39332530108	 3:1.47866180707	 
0.0 1:2.07410138803	 2:1.24882991002	 3:1.6557456508	 
0.0 1:2.07845203918	 2:1.06316974115	 3:1.76561869118	 
0.0 1:2.07933010666	 2:0.852393622918	 3:1.79626601716	 
0.0 1:2.07730810035	 2:0.623864249191	 3:1.76059172138	 
0.0 1:2.07326299708	 2:0.382735134713	 3:1.67866184924	 
0.0 1:2.0680144162	 2:0.141353407106	 3:1.56886190677	 
0.0 1:2.06232455867	 2:-0.0807406569784	 3:1.44789547116	 
0.0 1:2.05669587485	 2:-0.270510053249	 3:1.32676608588	 
0.0 1:2.05074477526	 2:-0.438393646641	 3:1.19709698772	 
0.0 1:2.04391388092	 2:-0.598343699321	 3:1.04665677979	 
0.0 1:2.03589755815	 2:-0.741314787864	 3:0.867922279315	 
0.0 1:2.02658463734	 2:-0.840601683498	 3:0.657012364803	 
0.0 1:2.0161682138	 2:-0.888632292578	 3:0.418030536085	 
0.0 1:2.0056107645	 2:-0.928192276542	 3:0.175367295311	 
0.0 1:1.99592527384	 2:-1.00425302554	 3:-0.0453098367305	 
0.0 1:1.98738738018	 2:-1.10196155235	 3:-0.238340921534	 
0.0 1:1.97983828535	 2:-1.17136752503	 3:-0.409846917997	 
0.0 1:1.97318109432	 2:-1.18575963609	 3:-0.563378528417	 
0.0 1:1.96745005645	 2:-1.16444614874	 3:-0.697198345812	 
0.0 1:1.96265445826	 2:-1.13034390438	 3:-0.809970897937	 
0.0 1:1.95850773564	 2:-1.09396253513	 3:-0.907821583496	 
0.0 1:1.9545954601	 2:-1.06020300435	 3:-1.00011237828	 
0.0 1:1.95075544425	 2:-1.03139247366	 3:-1.09048710699	 
0.0 1:1.94720041607	 2:-1.00608092157	 3:-1.17408812974	 
0.0 1:1.94421039481	 2:-0.978754770419	 3:-1.24469744091	 
0.0 1:1.94226526329	 2:-0.923574833633	 3:-1.29246019892	 
0.0 1:1.94189468152	 2:-0.809130338922	 3:-1.30664068841	 
0.0 1:1.94311330129	 2:-0.641381697942	 3:-1.28660807099	 
0.0 1:1.94534890033	 2:-0.468877078213	 3:-1.24324636847	 
0.0 1:3.0435553663	 2:0.066733091908	 3:-1.00875167032	 
