0.0 1:2.82003449672	 2:-1.45912048646	 3:0.00778364798173	 
0.0 1:2.81096839192	 2:-1.3836825069	 3:-0.156494737502	 
0.0 1:2.80412155465	 2:-1.29531451218	 3:-0.315271172562	 
0.0 1:2.80496788	 2:-1.17231385538	 3:-0.443709370184	 
0.0 1:2.81089642317	 2:-1.02643434622	 3:-0.552105676325	 
0.0 1:2.81682496633	 2:-0.880554837061	 3:-0.660501982468	 
0.0 1:2.81919082707	 2:-0.749030097527	 3:-0.784809121571	 
0.0 1:2.81922298088	 2:-0.626908336216	 3:-0.919538525867	 
0.0 1:2.81936386311	 2:-0.504316873632	 3:-1.05381730268	 
0.0 1:2.82106800313	 2:-0.374972215828	 3:-1.18161712039	 
0.0 1:2.8400517685	 2:-0.200286925101	 3:-1.20540025375	 
0.0 1:2.86510786607	 2:-0.0248754669211	 3:-1.17581735575	 
0.0 1:4.88250981535	 2:-0.400649697636	 3:-1.27874002524	 
0.0 1:4.88828699718	 2:-0.224753634273	 3:-1.23243184958	 
0.0 1:4.89406417901	 2:-0.0488575709089	 3:-1.18612367391	 
0.0 1:4.89984136084	 2:0.127038492456	 3:-1.13981549825	 
0.0 1:4.90945586351	 2:0.282306346774	 3:-1.04816625647	 
0.0 1:4.91986536006	 2:0.433300568336	 3:-0.947123515474	 
0.0 1:4.9302748566	 2:0.584294789898	 3:-0.846080774483	 
0.0 1:4.94068435315	 2:0.735289011461	 3:-0.745038033492	 
0.0 1:4.95129677319	 2:0.884551137911	 3:-0.64152956197	 
0.0 1:4.96216367286	 2:1.03164110142	 3:-0.534928899693	 
0.0 1:4.97303057252	 2:1.17873106492	 3:-0.428328237415	 
0.0 1:4.98568511463	 2:1.29416458841	 3:-0.298266372843	 
0.0 1:5.00146062469	 2:1.35433049689	 3:-0.127244605775	 
0.0 1:5.01725988706	 2:1.41206556291	 3:0.0443021378805	 
0.0 1:5.03346624356	 2:1.4281380974	 3:0.224846524982	 
0.0 1:5.04967260006	 2:1.44421063191	 3:0.405390912086	 
0.0 1:5.06549905461	 2:1.43696347187	 3:0.584136893524	 
0.0 1:5.08072556325	 2:1.39288955638	 3:0.760042810078	 
0.0 1:5.09270649694	 2:1.28982946258	 3:0.90570782485	 
0.0 1:5.10385177694	 2:1.17158191523	 3:1.04358656995	 
0.0 1:5.11499705693	 2:1.0533343679	 3:1.18146531505	 
0.0 1:5.12614233692	 2:0.935086820548	 3:1.31934406016	 
0.0 1:5.13428483496	 2:0.791375821468	 3:1.42615608498	 
0.0 1:5.14059649593	 2:0.632139409097	 3:1.51402630736	 
0.0 1:5.14445199449	 2:0.46628366314	 3:1.57497782448	 
0.0 1:5.14234784338	 2:0.284366719933	 3:1.57061360713	 
0.0 1:5.14024369228	 2:0.102449776728	 3:1.56624938978	 
0.0 1:5.13813954117	 2:-0.0794671664795	 3:1.56188517243	 
0.0 1:5.13512632813	 2:-0.260438866209	 3:1.54719778021	 
0.0 1:5.13092362087	 2:-0.440173728693	 3:1.51900266485	 
0.0 1:5.12672091361	 2:-0.619908591177	 3:1.49080754949	 
0.0 1:5.12251820635	 2:-0.799643453661	 3:1.46261243414	 
0.0 1:5.11518199817	 2:-0.95770862146	 3:1.39688061192	 
0.0 1:5.10160971719	 2:-1.07264828922	 3:1.25644587963	 
0.0 1:5.0880374362	 2:-1.18758795697	 3:1.11601114733	 
0.0 1:5.07446515522	 2:-1.30252762473	 3:0.975576415036	 
0.0 1:5.06089287424	 2:-1.4174672925	 3:0.835141682737	 
0.0 1:5.04713735088	 2:-1.49963876653	 3:0.689170172524	 
0.0 1:5.03257412642	 2:-1.43737363458	 3:0.518793490117	 
0.0 1:5.01801090196	 2:-1.37510850264	 3:0.348416807709	 
0.0 1:5.0034476775	 2:-1.3128433707	 3:0.178040125302	 
0.0 1:4.98880192642	 2:-1.2526375978	 3:0.00695384662282	 
0.0 1:4.97402590219	 2:-1.19568264476	 3:-0.165252571674	 
0.0 1:4.95924987796	 2:-1.13872769172	 3:-0.33745898997	 
0.0 1:4.94465585698	 2:-1.07782211239	 3:-0.508037772135	 
0.0 1:4.93103358126	 2:-0.995823489358	 3:-0.669926337186	 
0.0 1:4.91816156711	 2:-0.904065642218	 3:-0.824413076574	 
0.0 1:4.90898482557	 2:-0.766320401642	 3:-0.94222287879	 
0.0 1:4.90267316459	 2:-0.607083989271	 3:-1.03009310117	 
0.0 1:4.89636150361	 2:-0.447847576901	 3:-1.11796332355	 
0.0 1:7.20372381489	 2:0.217002516749	 3:-1.19033888008	 
0.0 1:7.2015435103	 2:0.379556399393	 3:-1.10277740009	 
0.0 1:7.19936320571	 2:0.542110282037	 3:-1.01521592011	 
0.0 1:7.19718290111	 2:0.70466416468	 3:-0.927654440132	 
0.0 1:7.19275641686	 2:0.859924089531	 3:-0.829193027468	 
0.0 1:7.18483303978	 2:1.00382864991	 3:-0.713762403863	 
0.0 1:7.1769096627	 2:1.14773321028	 3:-0.598331780257	 
0.0 1:7.16898628562	 2:1.29163777066	 3:-0.482901156651	 
0.0 1:7.1581841801	 2:1.42390110029	 3:-0.354541738919	 
0.0 1:7.14729767045	 2:1.5558231098	 3:-0.2258032498	 
0.0 1:7.12577052157	 2:1.61157886923	 3:-0.0643138161724	 
0.0 1:7.09747478871	 2:1.61888475189	 3:0.118008719045	 
0.0 1:7.06917905586	 2:1.62619063454	 3:0.300331254262	 
0.0 1:7.04025946038	 2:1.61989322616	 3:0.48042724563	 
0.0 1:7.00876780659	 2:1.55751222439	 3:0.65134365101	 
0.0 1:6.97727615279	 2:1.49513122264	 3:0.822260056388	 
0.0 1:6.945784499	 2:1.43275022087	 3:0.993176461768	 
0.0 1:6.91500296761	 2:1.35753019174	 3:1.1537739734	 
0.0 1:6.88865842679	 2:1.20208928373	 3:1.24989691838	 
0.0 1:6.86231388597	 2:1.04664837571	 3:1.34601986335	 
0.0 1:6.84033667871	 2:0.875531103653	 3:1.40739972319	 
0.0 1:6.82003271333	 2:0.698407798701	 3:1.4554685811	 
0.0 1:6.79972874796	 2:0.521284493749	 3:1.503537439	 
0.0 1:6.77942478258	 2:0.344161188797	 3:1.55160629691	 
0.0 1:6.76263909185	 2:0.165960584654	 3:1.57692863524	 
0.0 1:6.75524373511	 2:-0.0151153490886	 3:1.54154013166	 
0.0 1:6.74784837836	 2:-0.196191282831	 3:1.50615162809	 
0.0 1:6.74260088587	 2:-0.373277754009	 3:1.45898555775	 
0.0 1:6.743878158	 2:-0.538245068145	 3:1.37604169052	 
0.0 1:6.74674455738	 2:-0.6987318553	 3:1.28507783886	 
0.0 1:6.75065093687	 2:-0.856286429844	 3:1.18886543058	 
0.0 1:6.75455731637	 2:-1.01384100439	 3:1.09265302231	 
0.0 1:6.75846369587	 2:-1.17139557894	 3:0.996440614024	 
0.0 1:6.77559199126	 2:-1.26934478236	 3:0.843631893595	 
0.0 1:6.79435634516	 2:-1.35991851354	 3:0.683820036993	 
0.0 1:6.81737931724	 2:-1.41496520351	 3:0.513189370365	 
