0.0 1:1.08039862745	 2:-1.15860321677	 3:1.17251909656	 
0.0 1:1.04639241769	 2:-1.27248896445	 3:1.00769417328	 
0.0 1:1.01328430434	 2:-1.35989036769	 3:0.834350961258	 
0.0 1:0.980648217348	 2:-1.41495165291	 3:0.64643155142	 
0.0 1:0.948526113086	 2:-1.44173064038	 3:0.446441074246	 
0.0 1:0.917149284141	 2:-1.44829561204	 3:0.240348766474	 
0.0 1:0.886882831564	 2:-1.4409379111	 3:0.0340438856918	 
0.0 1:0.858905035888	 2:-1.41503797109	 3:-0.167131827322	 
0.0 1:0.834700015924	 2:-1.36186630737	 3:-0.358046010748	 
0.0 1:0.81465263924	 2:-1.2788900495	 3:-0.53751525989	 
0.0 1:0.795872173433	 2:-1.1820543434	 3:-0.716116297288	 
0.0 1:0.775265900753	 2:-1.08942209823	 3:-0.904614632952	 
0.0 1:1.55095901441	 2:-0.455434067588	 3:-0.979594641703	 
0.0 1:1.57151736367	 2:-0.239702122077	 3:-0.997054649636	 
0.0 1:1.58365508128	 2:-0.044313726542	 3:-0.943043701585	 
0.0 1:1.59110046218	 2:0.142187567284	 3:-0.846890110935	 
0.0 1:1.59757269679	 2:0.331154533849	 3:-0.737922150659	 
0.0 1:1.60631275622	 2:0.528494417997	 3:-0.645465971562	 
0.0 1:1.6198570584	 2:0.732091649451	 3:-0.598844597897	 
0.0 1:1.63986660707	 2:0.939112206778	 3:-0.618630377043	 
0.0 1:1.65686184698	 2:1.14519508653	 3:-0.606832402549	 
0.0 1:1.6658580099	 2:1.34165907303	 3:-0.517963245059	 
0.0 1:1.66906729074	 2:1.515830024	 3:-0.387837571753	 
0.0 1:1.6641179623	 2:1.63246173248	 3:-0.224235784038	 
0.0 1:1.65009123115	 2:1.68093132173	 3:-0.0273055618674	 
0.0 1:1.63115696528	 2:1.69576821899	 3:0.190685963266	 
0.0 1:1.61171965103	 2:1.71348650567	 3:0.416821020617	 
0.0 1:1.59349148317	 2:1.74164162108	 3:0.639800120517	 
0.0 1:1.57405526385	 2:1.74337271533	 3:0.850805866224	 
0.0 1:1.55064363289	 2:1.67805254635	 3:1.04123133636	 
0.0 1:1.52196482059	 2:1.51839709853	 3:1.19919178548	 
0.0 1:1.49420217514	 2:1.30471712074	 3:1.29619750772	 
0.0 1:1.47590047782	 2:1.09867693994	 3:1.29851319393	 
0.0 1:1.47330686655	 2:0.948794661923	 3:1.18472288035	 
0.0 1:1.4789792244	 2:0.825245789462	 3:1.0067916682	 
0.0 1:1.48042833963	 2:0.66932167127	 3:0.843739542028	 
0.0 1:1.46867666095	 2:0.458010248748	 3:0.770513303512	 
0.0 1:1.44946378005	 2:0.311691443723	 3:0.839116983773	 
0.0 1:1.42693153241	 2:0.257360557188	 3:1.03046113692	 
0.0 1:1.40130897336	 2:0.229128976017	 3:1.27977396994	 
0.0 1:1.37283058349	 2:0.160909919211	 3:1.52203785992	 
0.0 1:1.34389018159	 2:0.0293435806114	 3:1.7093772879	 
0.0 1:1.31919363325	 2:-0.14318121425	 3:1.81227113049	 
