0.000000 1:1.173584 2:-0.138122 3:-0.888163 
0.000000 1:1.186480 2:0.030365 3:-0.776201 
0.000000 1:1.199663 2:0.202919 3:-0.661830 
0.000000 1:1.213316 2:0.368813 3:-0.540024 
0.000000 1:1.226443 2:0.523811 3:-0.421748 
0.000000 1:1.237589 2:0.667140 3:-0.324375 
0.000000 1:1.247485 2:0.804160 3:-0.240482 
0.000000 1:1.258781 2:0.945473 3:-0.140764 
0.000000 1:1.272883 2:1.089218 3:-0.007757 
0.000000 1:1.289069 2:1.213116 3:0.155651 
0.000000 1:1.306088 2:1.299432 3:0.338943 
0.000000 1:1.321649 2:1.349954 3:0.513960 
0.000000 1:1.334019 2:1.370863 3:0.658116 
0.000000 1:1.346019 2:1.372444 3:0.802833 
0.000000 1:1.361773 2:1.365214 3:0.995266 
0.000000 1:1.380247 2:1.342702 3:1.224590 
0.000000 1:1.396849 2:1.286945 3:1.439952 
0.000000 1:1.408898 2:1.194018 3:1.609953 
0.000000 1:1.416230 2:1.078086 3:1.728917 
0.000000 1:1.418634 2:0.947139 3:1.792197 
0.000000 1:1.415404 2:0.791928 3:1.793672 
0.000000 1:1.406044 2:0.603869 3:1.729592 
0.000000 1:1.391350 2:0.388744 3:1.608071 
0.000000 1:1.372557 2:0.157365 3:1.441207 
0.000000 1:1.351541 2:-0.070907 3:1.246650 
0.000000 1:1.330478 2:-0.272982 3:1.044676 
0.000000 1:1.310280 2:-0.447762 3:0.846039 
0.000000 1:1.290593 2:-0.616062 3:0.651893 
0.000000 1:1.270835 2:-0.787949 3:0.457818 
0.000000 1:1.250106 2:-0.952114 3:0.249987 
0.000000 1:1.227811 2:-1.096408 3:0.018018 
0.000000 1:1.204527 2:-1.213669 3:-0.232958 
0.000000 1:1.181241 2:-1.298243 3:-0.492515 
0.000000 1:1.159974 2:-1.347385 3:-0.736899 
0.000000 1:1.143116 2:-1.359314 3:-0.937671 
0.000000 1:1.131889 2:-1.328000 3:-1.081645 
0.000000 1:1.126567 2:-1.244446 3:-1.167844 
0.000000 1:1.126337 2:-1.118584 3:-1.203493 
0.000000 1:1.128872 2:-0.987528 3:-1.207075 
0.000000 1:1.132119 2:-0.880398 3:-1.195779 
0.000000 1:1.135089 2:-0.799368 3:-1.181024 
0.000000 1:1.137197 2:-0.740829 3:-1.170827 
0.000000 1:1.139072 2:-0.694222 3:-1.160317 
0.000000 1:1.141615 2:-0.647596 3:-1.141744 
0.000000 1:1.144289 2:-0.598807 3:-1.122146 
0.000000 1:1.145751 2:-0.551369 3:-1.116851 
0.000000 1:1.146972 2:-0.496960 3:-1.116302 
0.000000 1:1.151527 2:-0.413902 3:-1.082899 
0.000000 1:1.161169 2:-0.290654 3:-0.998476 
0.000000 1:1.173584 2:-0.138122 3:-0.888163 
0.000000 1:2.264396 2:-0.742484 3:-1.103179 
0.000000 1:2.254849 2:-0.594205 3:-1.078935 
0.000000 1:2.247140 2:-0.462824 3:-1.035410 
