0.0 1:1.07154395061	 2:-0.729647127624	 3:-0.926881119754	 
0.0 1:1.06640011437	 2:-0.874532475032	 3:-0.839190999726	 
0.0 1:1.06024752461	 2:-1.00255684459	 3:-0.739133180184	 
0.0 1:1.05323065687	 2:-1.111520916	 3:-0.628971152784	 
0.0 1:1.0454939867	 2:-1.19922536893	 3:-0.510968409174	 
0.0 1:1.03718198966	 2:-1.26347088306	 3:-0.387388441008	 
0.0 1:1.0284391413	 2:-1.30205813809	 3:-0.260494739941	 
0.0 1:1.01940991718	 2:-1.31278781368	 3:-0.132550797623	 
0.0 1:1.0102279409	 2:-1.29437781748	 3:-0.00556987425871	 
0.0 1:1.00098342833	 2:-1.24921496886	 3:0.119435695756	 
0.0 1:0.991755743375	 2:-1.18060331519	 3:0.241703809468	 
0.0 1:0.982624249946	 2:-1.09184690379	 3:0.360472363931	 
0.0 1:0.973668311957	 2:-0.986249782007	 3:0.474979256195	 
0.0 1:0.964967293323	 2:-0.867115997185	 3:0.584462383312	 
0.0 1:0.956600557955	 2:-0.737749596662	 3:0.688159642331	 
0.0 1:0.948646785852	 2:-0.601245445761	 3:0.785296222498	 
0.0 1:0.941181921352	 2:-0.459861681734	 3:0.875046481833	 
0.0 1:0.934281224879	 2:-0.315647259819	 3:0.95657207055	 
0.0 1:0.928019956857	 2:-0.170651135251	 3:1.02903463886	 
0.0 1:0.922473377707	 2:-0.0269222632643	 3:1.09159583699	 
0.0 1:0.917716747855	 2:0.113490400906	 3:1.14341731513	 
0.0 1:0.913825327723	 2:0.248537902024	 3:1.18366072352	 
0.0 1:0.910909874206	 2:0.376434892524	 3:1.21096110981	 
0.0 1:0.909223130081	 2:0.496450455523	 3:1.22184711149	 
0.0 1:0.909053334595	 2:0.608117281807	 3:1.21232076353	 
0.0 1:0.910688726996	 2:0.710968062164	 3:1.17838410085	 
0.0 1:0.914417546531	 2:0.804535487378	 3:1.11603915842	 
0.0 1:0.920528032448	 2:0.888352248238	 3:1.02128797116	 
0.0 1:0.929308423995	 2:0.961951035533	 3:0.890132574036	 
0.0 1:0.940875907233	 2:1.02475737769	 3:0.720988571607	 
0.0 1:0.954663455482	 2:1.07576815375	 3:0.52192584692	 
0.0 1:0.969932988876	 2:1.1138730804	 3:0.303427852636	 
0.0 1:0.985946427547	 2:1.13796187431	 3:0.0759780414201	 
0.0 1:1.00196569163	 2:1.14692425217	 3:-0.149940134066	 
0.0 1:1.01725270126	 2:1.13964993068	 3:-0.363843221158	 
0.0 1:1.03106937656	 2:1.11502862651	 3:-0.555247767193	 
0.0 1:1.04283397708	 2:1.07221526563	 3:-0.715894117872	 
0.0 1:1.0525901199	 2:1.01142561125	 3:-0.846417812358	 
0.0 1:1.06053776152	 2:0.933140635853	 3:-0.94967818818	 
0.0 1:1.06687685845	 2:0.837841311932	 3:-1.02853458286	 
0.0 1:1.07180736717	 2:0.726008611973	 3:-1.08584633392	 
0.0 1:1.07552924418	 2:0.598123508471	 3:-1.12447277889	 
0.0 1:1.07824244598	 2:0.454666973913	 3:-1.14727325531	 
