0.0 1:0.953760377586	 2:0.114153710344	 3:-1.03683843939	 
0.0 1:0.947530501117	 2:0.217441224816	 3:-1.03317743126	 
0.0 1:0.940912516278	 2:0.33276689467	 3:-1.02015039426	 
0.0 1:0.934415130888	 2:0.455908325194	 3:-0.991188130028	 
0.0 1:0.92854029005	 2:0.582631778552	 3:-0.939918805153	 
0.0 1:0.923634396467	 2:0.708442624983	 3:-0.864509980918	 
0.0 1:0.919888310444	 2:0.828585342804	 3:-0.767668613279	 
0.0 1:0.91748612957	 2:0.938293067206	 3:-0.652299023174	 
0.0 1:0.916536283736	 2:1.03419471138	 3:-0.521030716108	 
0.0 1:0.916844532039	 2:1.11850230044	 3:-0.375393935838	 
0.0 1:0.918140965876	 2:1.19482363758	 3:-0.216644110693	 
0.0 1:0.920169825187	 2:1.26655762326	 3:-0.0460031199389	 
0.0 1:0.92300076637	 2:1.3322983967	 3:0.136078785444	 
0.0 1:0.927028862282	 2:1.38583533587	 3:0.329922982769	 
0.0 1:0.932663334322	 2:1.42074891611	 3:0.5358843984	 
0.0 1:0.940226966448	 2:1.43030544241	 3:0.751519440648	 
0.0 1:0.94969679285	 2:1.4065145386	 3:0.963190445584	 
0.0 1:0.960963410279	 2:1.34107165817	 3:1.15446123121	 
0.0 1:0.973930759308	 2:1.22573693339	 3:1.30935402119	 
0.0 1:0.988809688418	 2:1.05375810787	 3:1.42243436897	 
0.0 1:1.006117954	 2:0.819870536484	 3:1.4988111578	 
0.0 1:1.02638665627	 2:0.518874252904	 3:1.54405167655	 
0.0 1:1.04950901815	 2:0.155158246696	 3:1.56248908241	 
0.0 1:1.07282675333	 2:-0.22853266892	 3:1.55352000565	 
0.0 1:1.09304369825	 2:-0.57986472481	 3:1.51530694482	 
0.0 1:1.10696589136	 2:-0.848172651933	 3:1.44599465183	 
0.0 1:1.11375001825	 2:-1.02116668341	 3:1.34331970594	 
0.0 1:1.11490341167	 2:-1.12493255452	 3:1.20461051378	 
0.0 1:1.1120356064	 2:-1.18722450063	 3:1.0271777353	 
0.0 1:1.10659981688	 2:-1.23115248979	 3:0.811771108676	 
0.0 1:1.09942397631	 2:-1.26124942076	 3:0.57289668486	 
0.0 1:1.09117969753	 2:-1.27740392498	 3:0.328499593	 
0.0 1:1.08252366843	 2:-1.2794662219	 3:0.0961928516145	 
0.0 1:1.07376930305	 2:-1.2664030556	 3:-0.114049065231	 
0.0 1:1.06488674155	 2:-1.2362976948	 3:-0.299890227925	 
0.0 1:1.05583119913	 2:-1.18719499622	 3:-0.459326817487	 
0.0 1:1.0466155248	 2:-1.11856584293	 3:-0.591156136999	 
0.0 1:1.03748310274	 2:-1.03558522332	 3:-0.697379977802	 
0.0 1:1.02873495095	 2:-0.944854152116	 3:-0.780801253303	 
0.0 1:1.02065793888	 2:-0.852764741368	 3:-0.844256425964	 
0.0 1:1.01321351951	 2:-0.760904341885	 3:-0.891353586535	 
0.0 1:1.00603772938	 2:-0.666055543218	 3:-0.926472454059	 
0.0 1:0.998752456472	 2:-0.564792032259	 3:-0.954026296635	 
0.0 1:0.991120554377	 2:-0.455481314688	 3:-0.977625232657	 
0.0 1:0.983468739093	 2:-0.343666171356	 3:-0.997666781687	 
0.0 1:0.976264692219	 2:-0.236683201907	 3:-1.0137453136	 
0.0 1:0.969954172778	 2:-0.141525102874	 3:-1.02547421217	 
0.0 1:0.96447872057	 2:-0.0572747993033	 3:-1.03290418118	 
0.0 1:0.959275656172	 2:0.0248945552514	 3:-1.03652324436	 
0.0 1:0.953760377586	 2:0.114153710344	 3:-1.03683843939	 
0.0 1:1.94921038622	 2:1.21459045942	 3:0.0187379707004	 
0.0 1:1.93603398157	 2:1.25610775204	 3:0.20604457999	 
0.0 1:1.92345328157	 2:1.27176368755	 3:0.400877484141	 
0.0 1:1.91183011292	 2:1.2642661504	 3:0.595527123909	 
0.0 1:1.9015265645	 2:1.23629552386	 3:0.782298002369	 
0.0 1:1.8929434452	 2:1.18647017062	 3:0.95557168022	 
0.0 1:1.88656085839	 2:1.10508986705	 3:1.11398331133	 
