0.0 1:1.23905389726	 2:0.288653815226	 3:-1.48460496142	 
0.0 1:1.27369704097	 2:0.543276670602	 3:-1.5100279506	 
0.0 1:1.29597097641	 2:0.734140119724	 3:-1.50216468917	 
0.0 1:1.30592070449	 2:0.887197075309	 3:-1.43820379602	 
0.0 1:1.30368172051	 2:1.02766031542	 3:-1.29665320996	 
0.0 1:1.29147089081	 2:1.16371952067	 3:-1.08636522636	 
0.0 1:1.27358645281	 2:1.28654127435	 3:-0.846536497191	 
0.0 1:1.25441713833	 2:1.38655202502	 3:-0.617682994309	 
0.0 1:1.23692747271	 2:1.45575075485	 3:-0.428540567991	 
0.0 1:1.21838515541	 2:1.49242658027	 3:-0.260724582289	 
0.0 1:1.19463367941	 2:1.49644115132	 3:-0.0840702797034	 
0.0 1:1.16172170216	 2:1.46777431773	 3:0.13019746706	 
0.0 1:1.12041666323	 2:1.40912452236	 3:0.37889229044	 
0.0 1:1.07620478435	 2:1.32590880127	 3:0.626866328031	 
0.0 1:1.0347774517	 2:1.22366239016	 3:0.837582087216	 
0.0 1:1.00022344004	 2:1.10535627693	 3:0.983893914673	 
0.0 1:0.970221078575	 2:0.963704458067	 3:1.07622351426	 
0.0 1:0.940846085091	 2:0.788856682186	 3:1.13438442916	 
0.0 1:0.908344606184	 2:0.571808713775	 3:1.17770259989	 
0.0 1:0.872882650892	 2:0.323014681827	 3:1.21428910611	 
0.0 1:0.838546090698	 2:0.0723870798545	 3:1.2410401666	 
0.0 1:0.809591225883	 2:-0.149315582781	 3:1.25436439756	 
0.0 1:0.789233927773	 2:-0.318853543453	 3:1.25154830894	 
0.0 1:0.776528351861	 2:-0.443062026464	 3:1.23338998604	 
0.0 1:0.769488224681	 2:-0.536295002847	 3:1.20156540801	 
0.0 1:0.766178730261	 2:-0.612593905168	 3:1.15765424309	 
0.0 1:0.765848574983	 2:-0.678811781148	 3:1.10102100989	 
0.0 1:0.768929987582	 2:-0.734613293671	 3:1.02881507728	 
0.0 1:0.775906654287	 2:-0.779350567152	 3:0.938089503302	 
0.0 1:0.78705374036	 2:-0.812933445746	 3:0.826919564231	 
