0.0 1:0.571506851534	 2:0.0579868420808	 3:-1.00632351722	 
0.0 1:0.561805871542	 2:0.133012206527	 3:-0.854348811653	 
0.0 1:0.556718459941	 2:0.275415373096	 3:-0.755438966968	 
0.0 1:0.554833292253	 2:0.464025994001	 3:-0.693465251271	 
0.0 1:0.554739044	 2:0.677673721449	 3:-0.652298932669	 
0.0 1:0.555024390704	 2:0.895188207653	 3:-0.615811279265	 
0.0 1:0.554278007886	 2:1.09539910482	 3:-0.567873559162	 
0.0 1:0.551088571068	 2:1.25713606517	 3:-0.492357040464	 
0.0 1:0.544065772357	 2:1.35953020946	 3:-0.373375740612	 
0.0 1:0.532981994532	 2:1.39839066189	 3:-0.208473184815	 
0.0 1:0.519357429884	 2:1.39459768015	 3:-0.0153807453047	 
0.0 1:0.504856441075	 2:1.37109954744	 3:0.186504984531	 
0.0 1:0.491005498013	 2:1.34909985662	 3:0.379423610291	 
0.0 1:0.478025684493	 2:1.33328578158	 3:0.561104104472	 
0.0 1:0.465418584708	 2:1.3192410158	 3:0.737812831852	 
0.0 1:0.452678267607	 2:1.30245416599	 3:0.91590533109	 
0.0 1:0.439299190758	 2:1.27841259036	 3:1.10173138031	 
0.0 1:0.425226166138	 2:1.2411567797	 3:1.29496508695	 
0.0 1:0.41172241334	 2:1.18049153602	 3:1.47573760542	 
0.0 1:0.400291146077	 2:1.08545062489	 3:1.62062262145	 
0.0 1:0.392208681664	 2:0.947443172081	 3:1.70986404316	 
0.0 1:0.387239509977	 2:0.773705503785	 3:1.74816074122	 
0.0 1:0.384530118585	 2:0.577943762829	 3:1.75020824524	 
0.0 1:0.383225151484	 2:0.373883392262	 3:1.73073190599	 
0.0 1:0.38252553194	 2:0.174566449604	 3:1.70352915406	 
0.0 1:0.382292934472	 2:-0.0149883504485	 3:1.67150309838	 
0.0 1:0.382818433938	 2:-0.194976397672	 3:1.6304769894	 
0.0 1:0.384400402858	 2:-0.365681695648	 3:1.57615375527	 
0.0 1:0.387337213755	 2:-0.527388247955	 3:1.50423632412	 
0.0 1:0.391921873219	 2:-0.680338585627	 3:1.41051168139	 
0.0 1:0.398238856445	 2:-0.823163529017	 3:1.29403345554	 
0.0 1:0.406101788961	 2:-0.952400538441	 3:1.15809813343	 
0.0 1:0.41530619898	 2:-1.06444720253	 3:1.0062856962	 
0.0 1:0.425647614718	 2:-1.15570110993	 3:0.842176125004	 
0.0 1:0.436921587289	 2:-1.22257233994	 3:0.669346746875	 
0.0 1:0.448928212493	 2:-1.26394953031	 3:0.490848220229	 
0.0 1:0.461477577403	 2:-1.28417031703	 3:0.30857334648	 
0.0 1:0.474381098256	 2:-1.28829722998	 3:0.124260894428	 
0.0 1:0.487452999631	 2:-1.28116904344	 3:-0.0603486037941	 
0.0 1:0.500563437506	 2:-1.26316817217	 3:-0.243479497114	 
0.0 1:0.513634073191	 2:-1.2305733211	 3:-0.423323794623	 
0.0 1:0.526588562055	 2:-1.17954016573	 3:-0.598078935782	 
0.0 1:0.539354805353	 2:-1.10797614319	 3:-0.766329297529	 
0.0 1:0.551848858568	 2:-1.01632737023	 3:-0.926963990286	 
0.0 1:0.56356612689	 2:-0.901880352923	 3:-1.07229970359	 
0.0 1:0.573581370157	 2:-0.758538733262	 3:-1.1880391602	 
0.0 1:0.580995162684	 2:-0.583859370502	 3:-1.26093326485	 
0.0 1:0.585119410602	 2:-0.393625456873	 3:-1.28413650254	 
0.0 1:0.585329305711	 2:-0.209078263311	 3:-1.25272098173	 
0.0 1:0.581000051521	 2:-0.051460070196	 3:-1.16175916558	 
0.0 1:0.890368955483	 2:0.645046865629	 3:0.850658227884	 
