0.0 1:0.5	 2:-0.878032940256	 3:-1.31318907938	 
0.0 1:0.5	 2:-0.813055113686	 3:-1.13136898257	 
0.0 1:0.5	 2:-0.696740383759	 3:-1.02705847464	 
0.0 1:0.5	 2:-0.538083034324	 3:-0.986677787468	 
0.0 1:0.5	 2:-0.346077349231	 3:-0.996647152941	 
0.0 1:0.5	 2:-0.129717612328	 3:-1.04338680294	 
0.0 1:0.5	 2:0.102001892536	 3:-1.11331696935	 
0.0 1:0.5	 2:0.340086881511	 3:-1.19285788406	 
0.0 1:0.5	 2:0.575543070749	 3:-1.26842977895	 
0.0 1:0.5	 2:0.7993761764	 3:-1.32645288591	 
0.0 1:0.5	 2:1.00259191462	 3:-1.35334743681	 
0.0 1:0.5	 2:1.17619600155	 3:-1.33553366355	 
0.0 1:0.5	 2:1.31180948847	 3:-1.26045132921	 
0.0 1:0.5	 2:1.41008261861	 3:-1.13050040736	 
0.0 1:0.5	 2:1.47852637526	 3:-0.959448235964	 
0.0 1:0.5	 2:1.52482310549	 3:-0.761346080765	 
0.0 1:0.5	 2:1.55665515638	 3:-0.550245207517	 
0.0 1:0.5	 2:1.58170487501	 3:-0.340196881972	 
0.0 1:0.5	 2:1.60723649045	 3:-0.144639135744	 
0.0 1:0.5	 2:1.63061527927	 3:0.0375083296337	 
0.0 1:0.5	 2:1.63917289431	 3:0.222024938994	 
0.0 1:0.5	 2:1.62358574476	 3:0.417217207257	 
0.0 1:0.5	 2:1.58237820061	 3:0.614571933624	 
0.0 1:0.5	 2:1.51504680938	 3:0.80349235062	 
0.0 1:0.5	 2:1.42108811858	 3:0.973381690769	 
0.0 1:0.5	 2:1.29999867574	 3:1.11364318659	 
0.0 1:0.5	 2:1.15130254953	 3:1.21374465337	 
0.0 1:0.5	 2:0.978167190853	 3:1.27170367661	 
0.0 1:0.5	 2:0.791011153595	 3:1.3025536971	 
0.0 1:0.5	 2:0.600866684416	 3:1.32293461231	 
0.0 1:0.5	 2:0.413080201094	 3:1.34001345882	 
0.0 1:0.5	 2:0.227275941584	 3:1.35142384996	 
0.0 1:0.5	 2:0.0428264899829	 3:1.35438013177	 
0.0 1:0.5	 2:-0.140895569614	 3:1.34609665027	 
0.0 1:0.5	 2:-0.324517653113	 3:1.32378775151	 
0.0 1:0.5	 2:-0.507561867463	 3:1.28349300454	 
0.0 1:0.5	 2:-0.677251149607	 3:1.20817981269	 
0.0 1:0.5	 2:-0.812768162579	 3:1.07855813285	 
0.0 1:0.5	 2:-0.891156113737	 3:0.910881368434	 
0.0 1:0.5	 2:-0.906362737487	 3:0.727846348632	 
0.0 1:0.5	 2:-0.886600271962	 3:0.538789478108	 
0.0 1:0.5	 2:-0.86233337017	 3:0.351015692782	 
0.0 1:0.5	 2:-0.845309138742	 3:0.166191288961	 
0.0 1:0.5	 2:-0.835493668249	 3:-0.0175664547763	 
0.0 1:0.5	 2:-0.832566377175	 3:-0.202139868332	 
0.0 1:0.5	 2:-0.8331318608	 3:-0.387749143402	 
0.0 1:0.5	 2:-0.832915404669	 3:-0.573190068522	 
0.0 1:0.5	 2:-0.834095751082	 3:-0.75836535478	 
0.0 1:0.5	 2:-0.839874433506	 3:-0.943364172075	 
0.0 1:0.5	 2:-0.853452985409	 3:-1.12827569031	 
0.0 1:1.0	 2:-1.11384658082	 3:-1.05512557531	 
0.0 1:1.0	 2:-1.11988995138	 3:-0.876376602434	 
0.0 1:1.0	 2:-1.11683992802	 3:-0.698283139426	 
0.0 1:1.0	 2:-1.10702837692	 3:-0.520571441247	 
0.0 1:1.0	 2:-1.09278716427	 3:-0.34296776286	 
0.0 1:1.0	 2:-1.07644815626	 3:-0.165198359231	 
0.0 1:1.0	 2:-1.06065747119	 3:0.0129848212612	 
0.0 1:1.0	 2:-1.05282244482	 3:0.191440550652	 
0.0 1:1.0	 2:-1.06404605798	 3:0.369725443139	 
0.0 1:1.0	 2:-1.09900875041	 3:0.547300673914	 
0.0 1:1.0	 2:-1.11302724051	 3:0.722964378569	 
0.0 1:1.0	 2:-1.05637284372	 3:0.892107398656	 
0.0 1:1.0	 2:-0.939815606703	 3:1.03939958528	 
0.0 1:1.0	 2:-0.78719815858	 3:1.14721076026	 
0.0 1:1.0	 2:-0.619190547686	 3:1.20966776465	 
0.0 1:1.0	 2:-0.44738543325	 3:1.25453603312	 
0.0 1:1.0	 2:-0.27912184952	 3:1.30786391692	 
0.0 1:1.0	 2:-0.112184308975	 3:1.3678564565	 
0.0 1:1.0	 2:0.0578030212351	 3:1.42642312169	 
0.0 1:1.0	 2:0.234697171537	 3:1.47533214622	 
0.0 1:1.0	 2:0.415843711997	 3:1.50457911761	 
0.0 1:1.0	 2:0.594147310662	 3:1.50295065518	 
0.0 1:1.0	 2:0.762638346311	 3:1.45964975625	 
0.0 1:1.0	 2:0.921379679291	 3:1.3785131631	 
0.0 1:1.0	 2:1.07827524516	 3:1.28040053974	 
0.0 1:1.0	 2:1.22607507565	 3:1.1713019285	 
0.0 1:1.0	 2:1.34164777717	 3:1.0410561507	 
0.0 1:1.0	 2:1.4063748766	 3:0.881651258243	 
0.0 1:1.0	 2:1.43250316871	 3:0.702037431847	 
0.0 1:1.0	 2:1.44349265107	 3:0.517339107764	 
0.0 1:1.0	 2:1.45039351882	 3:0.337543057306	 
0.0 1:1.0	 2:1.4391484541	 3:0.162235798306	 
0.0 1:1.0	 2:1.39967035846	 3:-0.0101720542666	 
0.0 1:1.0	 2:1.34402355177	 3:-0.181024765101	 
0.0 1:1.0	 2:1.28829100095	 3:-0.35157086585	 
0.0 1:1.0	 2:1.23351433788	 3:-0.521053566626	 
0.0 1:1.0	 2:1.16198369299	 3:-0.685443309228	 
0.0 1:1.0	 2:1.06602269278	 3:-0.836279635741	 
0.0 1:1.0	 2:0.943811445181	 3:-0.964264869645	 
0.0 1:1.0	 2:0.798392516221	 3:-1.06786214144	 
0.0 1:1.0	 2:0.634926662495	 3:-1.14893724509	 
0.0 1:1.0	 2:0.458583610472	 3:-1.20937038373	 
0.0 1:1.0	 2:0.27453308662	 3:-1.25104176051	 
0.0 1:1.0	 2:0.0879448174072	 3:-1.2758315786	 
0.0 1:1.0	 2:-0.0960114706979	 3:-1.28562004115	 
0.0 1:1.0	 2:-0.276020788439	 3:-1.29073459184	 
0.0 1:1.0	 2:-0.457667946889	 3:-1.30248439732	 
0.0 1:1.0	 2:-0.62707753722	 3:-1.27061209126	 
0.0 1:1.0	 2:-0.780212554488	 3:-1.17867830841	 
0.0 1:1.0	 2:-0.935493448512	 3:-1.08472997899	 
0.0 1:1.5	 2:-1.12913776	 3:-0.744930848326	 
0.0 1:1.5	 2:-0.943305478522	 3:-0.627732964131	 
0.0 1:1.5	 2:-0.831563280767	 3:-0.481156816845	 
0.0 1:1.5	 2:-0.774589447651	 3:-0.31270397977	 
0.0 1:1.5	 2:-0.753062260091	 3:-0.129876026204	 
0.0 1:1.5	 2:-0.747659999006	 3:0.0598254705509	 
0.0 1:1.5	 2:-0.739060945314	 3:0.248898937196	 
0.0 1:1.5	 2:-0.710497703805	 3:0.430950228278	 
0.0 1:1.5	 2:-0.667161966464	 3:0.609105566894	 
0.0 1:1.5	 2:-0.625437337941	 3:0.791343433087	 
0.0 1:1.5	 2:-0.601791207004	 3:0.98567696765	 
0.0 1:1.5	 2:-0.597991963012	 3:1.18916892175	 
0.0 1:1.5	 2:-0.569050758767	 3:1.36404906617	 
0.0 1:1.5	 2:-0.468653033283	 3:1.47168972762	 
0.0 1:1.5	 2:-0.301675714166	 3:1.51243781535	 
