0.0 1:1.03262436146	 2:-0.657243209344	 3:1.6576237298	 
0.0 1:1.04785219621	 2:-0.787800962146	 3:1.54646214841	 
0.0 1:1.05920280004	 2:-0.866057288051	 3:1.36789714511	 
0.0 1:1.06762391711	 2:-0.909428001327	 3:1.16166084304	 
0.0 1:1.07404721149	 2:-0.933831347606	 3:0.960775031072	 
0.0 1:1.07917480128	 2:-0.946799349208	 3:0.767708421817	 
0.0 1:1.0836565777	 2:-0.953955975245	 3:0.577978220317	 
0.0 1:1.08813598662	 2:-0.960868211381	 3:0.387140030261	 
0.0 1:1.09284588601	 2:-0.96947305602	 3:0.193195543186	 
0.0 1:1.09736860797	 2:-0.975956240108	 3:-0.0019780245923	 
0.0 1:1.10132621234	 2:-0.976890072032	 3:-0.196562645452	 
0.0 1:1.1048111377	 2:-0.973176207838	 3:-0.390685155696	 
0.0 1:1.38637917705	 2:-0.753311087131	 3:-0.865023826339	 
0.0 1:1.38126657793	 2:-0.564628765462	 3:-0.937758502847	 
0.0 1:1.37734901269	 2:-0.387768071862	 3:-0.998395732768	 
0.0 1:1.37446633775	 2:-0.219243441036	 3:-1.04884549687	 
0.0 1:1.37245840951	 2:-0.0555693076936	 3:-1.09101777591	 
0.0 1:1.37116508441	 2:0.10673989346	 3:-1.12682255066	 
0.0 1:1.37042621884	 2:0.271169727716	 3:-1.15816980186	 
0.0 1:1.37008166922	 2:0.441205760367	 3:-1.1869695103	 
0.0 1:1.36997129197	 2:0.620333556708	 3:-1.2151316567	 
0.0 1:1.36993494351	 2:0.812038682028	 3:-1.24456622186	 
0.0 1:1.37056367027	 2:1.01360862599	 3:-1.2697661033	 
0.0 1:1.37684634318	 2:1.18604438983	 3:-1.24180105896	 
0.0 1:1.39412066999	 2:1.28277909636	 3:-1.10758412568	 
0.0 1:1.41637255771	 2:1.30864807978	 3:-0.919693688989	 
0.0 1:1.43683646773	 2:1.2919180576	 3:-0.740745269684	 
0.0 1:1.45620685514	 2:1.25513216021	 3:-0.56817683421	 
0.0 1:1.47563221193	 2:1.21868845091	 3:-0.395186521383	 
0.0 1:1.49544202876	 2:1.18874653988	 3:-0.219869675009	 
0.0 1:1.5155583425	 2:1.16438239649	 3:-0.0427580019358	 
0.0 1:1.53590022539	 2:1.144620449	 3:0.135599063818	 
0.0 1:1.55638674965	 2:1.12848512563	 3:0.314652088233	 
0.0 1:1.57691708662	 2:1.11435494908	 3:0.493778201153	 
0.0 1:1.59723850851	 2:1.0956783774	 3:0.671794009467	 
0.0 1:1.61702827319	 2:1.06363147246	 3:0.847257760327	 
0.0 1:1.63595661775	 2:1.00945758072	 3:1.01865695795	 
0.0 1:1.6533978908	 2:0.927935362588	 3:1.18139139383	 
0.0 1:1.66831885717	 2:0.818713342483	 3:1.32660756225	 
0.0 1:1.67965725676	 2:0.681803643413	 3:1.44514651823	 
0.0 1:1.6865798839	 2:0.52012719703	 3:1.52938199023	 
0.0 1:1.68881409329	 2:0.343723605158	 3:1.57543858826	 
0.0 1:1.68620068988	 2:0.1635143986	 3:1.58028493792	 
0.0 1:1.67924690986	 2:-0.0138325926593	 3:1.54728073064	 
0.0 1:1.66912249863	 2:-0.185878205896	 3:1.48613911154	 
0.0 1:1.65702570126	 2:-0.350365186128	 3:1.40684653699	 
0.0 1:1.64409936139	 2:-0.505548731133	 3:1.31898972616	 
0.0 1:1.63084133871	 2:-0.655650021987	 3:1.22750165109	 
0.0 1:1.61733292607	 2:-0.808743405896	 3:1.13430963328	 
0.0 1:1.60363910725	 2:-0.97260045874	 3:1.04115441036	 
0.0 1:1.58937673636	 2:-1.13738736508	 3:0.943239293621	 
0.0 1:1.57352608783	 2:-1.26826140055	 3:0.826481012962	 
0.0 1:1.5550944884	 2:-1.33108149385	 3:0.677136085309	 
0.0 1:1.53432517376	 2:-1.33435327086	 3:0.498593357516	 
0.0 1:1.51246977771	 2:-1.3213784862	 3:0.308220221009	 
0.0 1:1.49067169935	 2:-1.32540439649	 3:0.120923699394	 
0.0 1:1.46952237881	 2:-1.33529858181	 3:-0.0598888441021	 
0.0 1:1.44947496775	 2:-1.3288096833	 3:-0.233691185352	 
0.0 1:1.43098578941	 2:-1.28400767782	 3:-0.399880946922	 
0.0 1:1.41464778622	 2:-1.19280437493	 3:-0.554575377173	 
0.0 1:1.40123949118	 2:-1.06591503717	 3:-0.689435496482	 
0.0 1:1.39155269217	 2:-0.915397872064	 3:-0.795804060865	 
0.0 1:1.81972297655	 2:1.11840479185	 3:-0.795307184448	 
0.0 1:1.82187368125	 2:1.11775800271	 3:-0.600312216901	 
0.0 1:1.8257487554	 2:1.10523175506	 3:-0.41497807855	 
0.0 1:1.83109731375	 2:1.08260847316	 3:-0.237109626872	 
0.0 1:1.83766847106	 2:1.05167058126	 3:-0.0645117193424	 
0.0 1:1.84521134211	 2:1.01420050362	 3:0.105010786561	 
0.0 1:1.85347504165	 2:0.971980664511	 3:0.273653033363	 
0.0 1:1.86220868446	 2:0.926793488176	 3:0.443610163587	 
0.0 1:1.87116138529	 2:0.880421398879	 3:0.617077319758	 
0.0 1:1.88008225892	 2:0.834646820875	 3:0.796249644397	 
0.0 1:1.88873237391	 2:0.791166057726	 3:0.983200235695	 
0.0 1:1.89769987329	 2:0.745716782942	 3:1.17155803093	 
0.0 1:1.90892236575	 2:0.684314490546	 3:1.3411743629	 
