0.0 1:0.971300257462	 2:-1.2300787702	 3:-0.868709006503	 
0.0 1:0.954815333847	 2:-1.07779114509	 3:-0.977336382947	 
0.0 1:0.941204667756	 2:-0.899325553818	 3:-1.04305717825	 
0.0 1:0.931967930671	 2:-0.714981992997	 3:-1.0589191239	 
0.0 1:0.926428129274	 2:-0.531636303073	 3:-1.03535098701	 
0.0 1:0.922484398868	 2:-0.347372834902	 3:-0.99414682437	 
0.0 1:0.918011273646	 2:-0.160124043307	 3:-0.957297057951	 
0.0 1:0.911273886492	 2:0.0312062099717	 3:-0.94301973408	 
0.0 1:0.906414065312	 2:0.213098929248	 3:-0.912776165964	 
0.0 1:0.908853363385	 2:0.370904044179	 3:-0.814735702416	 
0.0 1:0.911984288136	 2:0.527529779663	 3:-0.709769811235	 
0.0 1:1.45308980646	 2:0.71240995204	 3:-0.89630315971	 
0.0 1:1.4450397564	 2:0.805091386519	 3:-0.731120146558	 
0.0 1:1.43656024211	 2:0.904026725918	 3:-0.571249425501	 
0.0 1:1.42789508456	 2:1.00571393026	 3:-0.414198284744	 
0.0 1:1.41928810473	 2:1.10665095957	 3:-0.257474012495	 
0.0 1:1.4109831236	 2:1.20333577389	 3:-0.0985838969584	 
0.0 1:1.40322396215	 2:1.29226633322	 3:0.0649647736576	 
0.0 1:1.39625444135	 2:1.36994059761	 3:0.235664711149	 
0.0 1:1.39031838219	 2:1.43285652707	 3:0.416008627308	 
0.0 1:1.38566510688	 2:1.47746228523	 3:0.608230291584	 
0.0 1:1.38267815779	 2:1.49899109798	 3:0.808245770181	 
0.0 1:1.38187971468	 2:1.49142126841	 3:1.00544550306	 
0.0 1:1.38379834238	 2:1.44867330361	 3:1.18891938959	 
0.0 1:1.38896243165	 2:1.36466986298	 3:1.34775929454	 
0.0 1:1.39758094673	 2:1.23728438681	 3:1.47466481902	 
0.0 1:1.40888221305	 2:1.07651920451	 3:1.5734113071	 
0.0 1:1.42190699615	 2:0.894696452337	 3:1.64989248184	 
0.0 1:1.43569706584	 2:0.704125447269	 3:1.70999502189	 
0.0 1:1.44955974889	 2:0.51372564389	 3:1.75774280833	 
0.0 1:1.46342308703	 2:0.324493005055	 3:1.79280560421	 
0.0 1:1.47730366441	 2:0.136293240728	 3:1.81423207592	 
0.0 1:1.49121806516	 2:-0.0510079391239	 3:1.82107088982	 
0.0 1:1.50518287341	 2:-0.237544824538	 3:1.8123707123	 
0.0 1:1.5192146733	 2:-0.423451705548	 3:1.7871802097	 
0.0 1:1.53333004897	 2:-0.60886287219	 3:1.74454804843	 
0.0 1:1.54754558454	 2:-0.793912614498	 3:1.68352289483	 
0.0 1:1.56177628368	 2:-0.977370357983	 3:1.60313052387	 
0.0 1:1.57520546968	 2:-1.14817446118	 3:1.50223182454	 
0.0 1:1.58669583821	 2:-1.29095523742	 3:1.37961543157	 
0.0 1:1.59510928427	 2:-1.39033240793	 3:1.23407158443	 
0.0 1:1.59982433295	 2:-1.43801955657	 3:1.06614951182	 
0.0 1:1.60169138902	 2:-1.44594069066	 3:0.881409805033	 
0.0 1:1.60182124681	 2:-1.42959523401	 3:0.686299613166	 
0.0 1:1.60132470066	 2:-1.40448261045	 3:0.487266085302	 
0.0 1:1.60131227538	 2:-1.38609851205	 3:0.290755116579	 
0.0 1:1.60240581796	 2:-1.38317204197	 3:0.100938895642	 
0.0 1:1.60372867612	 2:-1.38368299206	 3:-0.0849825641466	 
0.0 1:1.60411793428	 2:-1.37164734464	 3:-0.271141167129	 
0.0 1:1.60243169311	 2:-1.33143583526	 3:-0.460883391655	 
0.0 1:1.59794160962	 2:-1.25440002009	 3:-0.642100134896	 
0.0 1:1.59029746929	 2:-1.13827425468	 3:-0.788550735378	 
