0.0 1:1.26488256685	 2:-1.12540226943	 3:1.08056727888	 
0.0 1:1.2380378426	 2:-1.14478786246	 3:0.895338818007	 
0.0 1:1.21119311834	 2:-1.16417345549	 3:0.710110357134	 
0.0 1:1.18434839409	 2:-1.18355904852	 3:0.524881896262	 
0.0 1:1.15671750599	 2:-1.19456406376	 3:0.339306407277	 
0.0 1:1.12816518005	 2:-1.19574646824	 3:0.153324177593	 
0.0 1:1.09961285412	 2:-1.19692887273	 3:-0.0326580520905	 
0.0 1:1.07031701209	 2:-1.18748528132	 3:-0.217436406778	 
0.0 1:1.03897946586	 2:-1.14886257661	 3:-0.398908906161	 
0.0 1:1.00816109215	 2:-1.08197432476	 3:-0.560973240213	 
0.0 1:0.97898399221	 2:-0.925729453748	 3:-0.661682029677	 
0.0 1:1.52232771814	 2:-0.976356053167	 3:-0.555239095664	 
0.0 1:1.52639984765	 2:-0.796711050957	 3:-0.600706308371	 
0.0 1:1.53062944785	 2:-0.618332245792	 3:-0.649212867398	 
0.0 1:1.53727063491	 2:-0.459344632095	 3:-0.74426553603	 
0.0 1:1.54391182198	 2:-0.300357018397	 3:-0.839318204662	 
0.0 1:1.55055300904	 2:-0.141369404699	 3:-0.934370873295	 
0.0 1:1.55885621171	 2:-0.012247818565	 3:-1.06407619742	 
0.0 1:1.56778707007	 2:0.105594942954	 3:-1.20686800326	 
0.0 1:1.57372104754	 2:0.263143524831	 3:-1.28938227345	 
0.0 1:1.57810987254	 2:0.441163906599	 3:-1.34081823732	 
0.0 1:1.58111061431	 2:0.618486707057	 3:-1.36731256478	 
0.0 1:1.57921727482	 2:0.793349986665	 3:-1.30586807602	 
0.0 1:1.57732393532	 2:0.968213266274	 3:-1.24442358726	 
0.0 1:1.57315558969	 2:1.1115442623	 3:-1.14684105496	 
0.0 1:1.56477093202	 2:1.19643587839	 3:-0.982283200321	 
0.0 1:1.55615245917	 2:1.27336944568	 3:-0.814747056601	 
0.0 1:1.54658013989	 2:1.31783823922	 3:-0.635061014868	 
0.0 1:1.53700782061	 2:1.36230703276	 3:-0.455374973135	 
0.0 1:1.52743550133	 2:1.40677582631	 3:-0.275688931403	 
0.0 1:1.51786318204	 2:1.45124461985	 3:-0.0960028896699	 
0.0 1:1.50770741249	 2:1.45706123707	 3:0.0881834552365	 
0.0 1:1.49743815893	 2:1.45535981246	 3:0.273245131644	 
0.0 1:1.48716890537	 2:1.45365838785	 3:0.458306808052	 
0.0 1:1.47689965182	 2:1.45195696324	 3:0.643368484459	 
0.0 1:1.46656143928	 2:1.4370811174	 3:0.827619656839	 
0.0 1:1.45619175571	 2:1.41619282009	 3:1.01150093698	 
