0.000000 1:0.550801 2:-0.741684 3:-0.942032 
0.000000 1:0.548858 2:-0.562965 3:-1.010023 
0.000000 1:0.552410 2:-0.376577 3:-1.047980 
0.000000 1:0.558034 2:-0.187298 3:-1.074613 
0.000000 1:0.569879 2:0.001356 3:-1.064304 
0.000000 1:0.584961 2:0.189685 3:-1.034774 
0.000000 1:0.604176 2:0.370525 3:-0.978459 
0.000000 1:0.617029 2:0.554364 3:-0.960676 
0.000000 1:0.622653 2:0.743643 3:-0.987309 
0.000000 1:0.628277 2:0.932921 3:-1.013942 
0.000000 1:0.633901 2:1.122200 3:-1.040575 
0.000000 1:0.655547 2:1.279558 3:-0.962479 
0.000000 1:0.684048 2:1.423260 3:-0.839578 
0.000000 1:0.712703 2:1.564413 3:-0.714965 
0.000000 1:0.746122 2:1.626375 3:-0.537169 
0.000000 1:0.779541 2:1.688336 3:-0.359374 
0.000000 1:0.812960 2:1.750297 3:-0.181578 
0.000000 1:0.846379 2:1.812258 3:-0.003782 
0.000000 1:0.879798 2:1.874219 3:0.174013 
0.000000 1:0.911837 2:1.884495 3:0.359999 
0.000000 1:0.943450 2:1.878842 3:0.548509 
0.000000 1:0.975064 2:1.873189 3:0.737019 
0.000000 1:0.996792 2:1.790804 3:0.891403 
0.000000 1:1.010952 2:1.649679 3:1.019662 
0.000000 1:1.025112 2:1.508554 3:1.147921 
0.000000 1:1.038338 2:1.365336 3:1.271331 
0.000000 1:1.030448 2:1.174761 3:1.284986 
0.000000 1:1.022557 2:0.984187 3:1.298641 
0.000000 1:1.014667 2:0.793612 3:1.312296 
0.000000 1:1.006776 2:0.603038 3:1.325951 
0.000000 1:1.007976 2:0.423660 3:1.389759 
0.000000 1:1.010238 2:0.245588 3:1.459421 
0.000000 1:1.005819 2:0.062049 3:1.491359 
0.000000 1:0.993189 2:-0.128212 3:1.476919 
0.000000 1:0.980558 2:-0.318473 3:1.462478 
0.000000 1:0.965966 2:-0.507188 3:1.435965 
0.000000 1:0.950884 2:-0.695517 3:1.406434 
0.000000 1:0.927889 2:-0.864992 3:1.324203 
0.000000 1:0.899741 2:-0.992576 3:1.198289 
0.000000 1:0.866490 2:-1.068021 3:1.025750 
0.000000 1:0.833239 2:-1.143465 3:0.853211 
0.000000 1:0.800619 2:-1.170299 3:0.669030 
0.000000 1:0.768217 2:-1.180389 3:0.480840 
0.000000 1:0.736749 2:-1.178531 3:0.294387 
0.000000 1:0.710434 2:-1.110745 3:0.117526 
0.000000 1:0.684119 2:-1.042959 3:-0.059335 
0.000000 1:0.657804 2:-0.975173 3:-0.236196 
0.000000 1:0.630823 2:-0.913946 3:-0.414918 
0.000000 1:0.607009 2:-0.827021 3:-0.583060 
0.000000 1:0.582238 2:-0.750375 3:-0.753608 
0.000000 1:1.020677 2:0.301950 3:-1.372774 
0.000000 1:0.992581 2:0.488955 3:-1.350934 
0.000000 1:0.969985 2:0.666333 3:-1.299193 
0.000000 1:0.955971 2:0.828688 3:-1.200796 
0.000000 1:0.941957 2:0.991043 3:-1.102400 
